time,ENV.pressure,ENV.temperature,PHOT.O2_1,PHOT.O3_1,PHOT.O3_2
14850,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
15000,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
15150,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
15300,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
15450,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
15600,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
15750,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
15900,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
16050,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
16200,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
16350,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
16500,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
16650,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
16800,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
16950,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
17100,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
17250,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
17400,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
17550,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
17700,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
17850,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
18000,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
18150,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
18300,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
18450,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
18600,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
18750,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
18900,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
19050,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
19200,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
19350,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
19500,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
19650,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
19800,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
19950,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
20100,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
20250,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
20400,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
20550,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
20700,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
20850,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
21000,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
21150,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
21300,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
21450,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
21600,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
21750,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
21900,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
22050,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
22200,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
22350,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
22500,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
22650,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
22800,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
22950,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
23100,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
23250,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
23400,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
23550,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
23700,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
23850,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
24000,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
24150,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
24300,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
24450,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
24600,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
24750,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
24900,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
25050,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
25200,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
25350,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
25500,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
25650,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
25800,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
25950,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
26100,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
26250,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
26400,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
26550,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
26700,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
26850,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
27000,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
27150,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
27300,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
27450,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
27600,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
27750,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
27900,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
28050,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
28200,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
28350,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
28500,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
28650,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
28800,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
28950,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
29100,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
29250,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
29400,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
29550,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
29700,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
29850,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
30000,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
30150,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
30300,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
30450,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
30600,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
30750,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
30900,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
31050,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
31200,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
31350,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
31500,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
31650,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
31800,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
31950,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
32100,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
32250,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
32400,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
32550,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
32700,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
32850,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
33000,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
33150,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
33300,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
33450,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
33600,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
33750,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
33900,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
34050,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
34200,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
34350,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
34500,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
34650,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
34800,8.78E+03,2.06E+02,0.00E+00,0.00E+00,0.00E+00
34950,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
35100,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
35250,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
35400,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
35550,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
35700,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
35850,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
36000,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
36150,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
36300,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
36450,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
36600,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
36750,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
36900,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
37050,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
37200,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
37350,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
37500,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
37650,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
37800,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
37950,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
38100,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
38250,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
38400,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
38550,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
38700,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
38850,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
39000,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
39150,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
39300,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
39450,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
39600,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
39750,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
39900,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
40050,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
40200,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
40350,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
40500,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
40650,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
40800,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
40950,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
41100,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
41250,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
41400,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
41550,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
41700,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
41850,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
42000,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
42150,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
42300,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
42450,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
42600,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
42750,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
42900,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
43050,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
43200,8.78E+03,2.05E+02,0.00E+00,0.00E+00,0.00E+00
43350,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
43500,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
43650,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
43800,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
43950,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
44100,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
44250,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
44400,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
44550,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
44700,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
44850,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
45000,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
45150,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
45300,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
45450,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
45600,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
45750,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
45900,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
46050,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
46200,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
46350,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
46500,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
46650,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
46800,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
46950,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
47100,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
47250,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
47400,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
47550,8.78E+03,2.04E+02,0.00E+00,0.00E+00,0.00E+00
47700,8.78E+03,2.04E+02,0.00E+00,4.10E-40,1.55E-23
47850,8.78E+03,2.04E+02,1.56E-284,2.87E-21,6.56E-15
48000,8.78E+03,2.04E+02,2.00E-119,1.79E-17,3.92E-14
48150,8.78E+03,2.04E+02,3.03E-47,6.19E-16,1.60E-13
48300,8.78E+03,2.04E+02,1.39E-29,6.21E-15,5.58E-13
48450,8.78E+03,2.04E+02,3.41E-25,4.08E-14,2.09E-12
48600,8.78E+03,2.04E+02,9.32E-24,1.39E-13,8.21E-12
48750,8.78E+03,2.04E+02,4.13E-23,3.81E-13,2.91E-11
48900,8.78E+03,2.04E+02,1.07E-22,1.06E-12,9.38E-11
49050,8.78E+03,2.04E+02,2.45E-22,3.33E-12,2.77E-10
49200,8.78E+03,2.04E+02,6.15E-22,1.08E-11,8.13E-10
49350,8.78E+03,2.04E+02,1.77E-21,3.17E-11,1.99E-09
49500,8.78E+03,2.04E+02,5.16E-21,8.40E-11,4.62E-09
49650,8.78E+03,2.04E+02,1.39E-20,2.01E-10,9.96E-09
49800,8.78E+03,2.04E+02,3.37E-20,4.38E-10,2.03E-08
49950,8.78E+03,2.04E+02,7.46E-20,8.89E-10,4.06E-08
50100,8.78E+03,2.04E+02,1.47E-19,1.68E-09,7.60E-08
50250,8.78E+03,2.04E+02,2.73E-19,3.01E-09,1.37E-07
50400,8.78E+03,2.04E+02,4.75E-19,5.04E-09,2.48E-07
50550,8.78E+03,2.04E+02,5.74E-18,7.82E-09,1.65E-05
50700,8.78E+03,2.04E+02,6.35E-18,1.17E-08,3.16E-05
50850,8.78E+03,2.04E+02,7.29E-18,1.66E-08,5.07E-05
51000,8.78E+03,2.04E+02,9.53E-18,2.29E-08,7.28E-05
51150,8.78E+03,2.04E+02,1.22E-17,3.06E-08,9.62E-05
51300,8.78E+03,2.04E+02,1.44E-17,3.92E-08,1.15E-04
51450,8.78E+03,2.04E+02,1.75E-17,5.23E-08,1.30E-04
51600,8.78E+03,2.04E+02,2.17E-17,6.73E-08,1.42E-04
51750,8.78E+03,2.04E+02,2.63E-17,8.99E-08,1.53E-04
51900,8.78E+03,2.03E+02,3.22E-17,1.24E-07,1.65E-04
52050,8.78E+03,2.03E+02,3.73E-17,1.58E-07,1.78E-04
52200,8.78E+03,2.03E+02,4.28E-17,2.00E-07,1.92E-04
52350,8.78E+03,2.03E+02,4.83E-17,2.50E-07,2.05E-04
52500,8.78E+03,2.03E+02,5.42E-17,3.05E-07,2.18E-04
52650,8.78E+03,2.03E+02,6.03E-17,3.67E-07,2.30E-04
52800,8.78E+03,2.03E+02,6.64E-17,4.34E-07,2.41E-04
52950,8.78E+03,2.03E+02,7.29E-17,5.07E-07,2.51E-04
53100,8.78E+03,2.03E+02,7.93E-17,5.85E-07,2.61E-04
53250,8.78E+03,2.03E+02,8.60E-17,6.68E-07,2.70E-04
53400,8.78E+03,2.03E+02,9.27E-17,7.56E-07,2.78E-04
53550,8.78E+03,2.03E+02,9.96E-17,8.50E-07,2.86E-04
53700,8.78E+03,2.03E+02,1.07E-16,9.49E-07,2.94E-04
53850,8.78E+03,2.03E+02,1.14E-16,1.05E-06,3.01E-04
54000,8.78E+03,2.03E+02,1.21E-16,1.17E-06,3.08E-04
54150,8.78E+03,2.03E+02,1.28E-16,1.27E-06,3.13E-04
54300,8.78E+03,2.03E+02,1.35E-16,1.37E-06,3.18E-04
54450,8.78E+03,2.03E+02,1.41E-16,1.49E-06,3.24E-04
54600,8.78E+03,2.03E+02,1.48E-16,1.60E-06,3.28E-04
54750,8.78E+03,2.03E+02,1.56E-16,1.73E-06,3.33E-04
