time,ENV.pressure,ENV.temperature,PHOT.O2_1,PHOT.O3_1,PHOT.O3_2
0,8.78E+03,2.08E+02,4.75E-19,6.18E-09,3.77E-07
150,8.78E+03,2.08E+02,2.73E-19,3.67E-09,2.04E-07
300,8.78E+03,2.08E+02,1.43E-19,2.02E-09,1.11E-07
450,8.78E+03,2.08E+02,7.16E-20,1.06E-09,5.80E-08
600,8.78E+03,2.08E+02,3.20E-20,5.14E-10,2.84E-08
750,8.78E+03,2.08E+02,1.30E-20,2.30E-10,1.37E-08
900,8.78E+03,2.07E+02,4.76E-21,9.39E-11,6.18E-09
1050,8.78E+03,2.07E+02,1.64E-21,3.51E-11,2.60E-09
1200,8.78E+03,2.07E+02,6.07E-22,1.16E-11,1.03E-09
1350,8.78E+03,2.07E+02,2.77E-22,3.59E-12,3.42E-10
1500,8.78E+03,2.07E+02,1.40E-22,1.19E-12,1.12E-10
1650,8.78E+03,2.07E+02,6.76E-23,4.79E-13,3.37E-11
1800,8.78E+03,2.07E+02,2.29E-23,2.12E-13,8.65E-12
1950,8.78E+03,2.07E+02,3.21E-24,8.29E-14,2.50E-12
2100,8.78E+03,2.07E+02,2.00E-26,1.95E-14,7.53E-13
2250,8.78E+03,2.07E+02,5.27E-35,2.46E-15,2.68E-13
2400,8.78E+03,2.07E+02,2.01E-67,1.70E-16,7.23E-14
2550,8.78E+03,2.07E+02,2.05E-183,7.37E-19,1.38E-14
2700,8.78E+03,2.07E+02,0.00E+00,1.06E-33,5.11E-23
2850,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
3000,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
3150,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
3300,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
3450,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
3600,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
3750,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
3900,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
4050,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
4200,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
4350,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
4500,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
4650,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
4800,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
4950,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
5100,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
5250,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
5400,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
5550,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
5700,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
5850,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
6000,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
6150,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
6300,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
6450,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
6600,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
6750,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
6900,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
7050,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
7200,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
7350,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
7500,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
7650,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
7800,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
7950,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
8100,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
8250,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
8400,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
8550,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
8700,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
8850,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
9000,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
9150,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
9300,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
9450,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
9600,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
9750,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
9900,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
10050,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
10200,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
10350,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
10500,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
10650,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
10800,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
10950,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
11100,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
11250,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
11400,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
11550,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
11700,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
11850,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
12000,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
12150,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
12300,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
12450,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
12600,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
12750,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
12900,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
13050,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
13200,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
13350,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
13500,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
13650,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
13800,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
13950,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
14100,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
14250,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
14400,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
14550,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
14700,8.78E+03,2.07E+02,0.00E+00,0.00E+00,0.00E+00
